PROSPECTID,t,timestamp,action_type,payload
206,3,2023-04-01,ENQUIRY,"{""product"": ""CC""}"
206,4,2023-05-01,NEW_ACCOUNT,"{""product"": ""CC""}"
206,5,2023-05-31,INCOME_UPDATE,"{""direction"": ""down"", ""pct"": 0.07247378454584613}"
206,6,2023-06-30,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.7882326870461411}"
206,7,2023-07-30,ENQUIRY,"{""product"": ""CC""}"
206,8,2023-08-29,ENQUIRY,"{""product"": ""PL""}"
206,8,2023-08-29,NEW_ACCOUNT,"{""product"": ""CC""}"
206,9,2023-09-28,ENQUIRY,"{""product"": ""PL""}"
206,9,2023-09-28,MISC_CLEAR,{}
206,10,2023-10-28,NEW_ACCOUNT,"{""product"": ""CC""}"
206,11,2023-11-27,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
206,11,2023-11-27,ENQUIRY,"{""product"": ""PL""}"
206,12,2023-12-27,ENQUIRY,"{""product"": ""CC""}"
206,12,2023-12-27,MISC_CLEAR,{}
206,13,2024-01-26,INCOME_UPDATE,"{""direction"": ""down"", ""pct"": 0.10591480246391992}"
206,14,2024-02-25,NEW_ACCOUNT,"{""product"": ""CC""}"
206,15,2024-03-26,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
206,15,2024-03-26,ENQUIRY,"{""product"": ""CC""}"
206,16,2024-04-25,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.7932042891464934}"
206,16,2024-04-25,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.11614036396879367}"
206,17,2024-05-25,ENQUIRY,"{""product"": ""PL""}"
206,17,2024-05-25,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.08253904191973635}"
206,20,2024-08-23,NEW_ACCOUNT,"{""product"": ""CC""}"
206,20,2024-08-23,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.18293174312014598}"
206,21,2024-09-22,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.32309048639831395}"
402,0,2023-01-01,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.9958018174897809}"
402,0,2023-01-01,NEW_ACCOUNT,"{""product"": ""CC""}"
402,1,2023-01-31,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.7952969794971705}"
402,2,2023-03-02,ENQUIRY,"{""product"": ""PL""}"
402,3,2023-04-01,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.9417899115329225}"
402,3,2023-04-01,ENQUIRY,"{""product"": ""CC""}"
402,3,2023-04-01,MISC_CLEAR,{}
402,4,2023-05-01,ENQUIRY,"{""product"": ""HL""}"
402,5,2023-05-31,ENQUIRY,"{""product"": ""PL""}"
402,5,2023-05-31,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.14712689924281444}"
402,6,2023-06-30,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.1989854272911934}"
402,7,2023-07-30,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.7220114333336539}"
402,8,2023-08-29,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.7947381608854245}"
402,8,2023-08-29,NEW_ACCOUNT,"{""product"": ""CC""}"
402,8,2023-08-29,MISC_CLEAR,{}
402,10,2023-10-28,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.8385576722364272}"
402,10,2023-10-28,NEW_ACCOUNT,"{""product"": ""CC""}"
402,11,2023-11-27,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
402,13,2024-01-26,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
402,13,2024-01-26,ENQUIRY,"{""product"": ""CC""}"
402,14,2024-02-25,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.0960939708225616}"
402,15,2024-03-26,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.3582901494389858}"
402,17,2024-05-25,ENQUIRY,"{""product"": ""HL""}"
402,19,2024-07-24,ENQUIRY,"{""product"": ""HL""}"
402,20,2024-08-23,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.08448962753811494}"
402,21,2024-09-22,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.4543358639568844}"
402,22,2024-10-22,MISC_CLEAR,{}
747,1,2023-01-31,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.7138723464515027}"
747,1,2023-01-31,ENQUIRY,"{""product"": ""CC""}"
747,2,2023-03-02,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.4088014996184238}"
747,4,2023-05-01,ENQUIRY,"{""product"": ""PL""}"
747,6,2023-06-30,ENQUIRY,"{""product"": ""CC""}"
747,8,2023-08-29,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.3459047922548603}"
747,10,2023-10-28,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.5958989386307604}"
747,12,2023-12-27,ENQUIRY,"{""product"": ""PL""}"
747,13,2024-01-26,NEW_ACCOUNT,"{""product"": ""CC""}"
747,13,2024-01-26,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.15245616520366095}"
747,14,2024-02-25,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
747,15,2024-03-26,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.5786165071262372}"
747,16,2024-04-25,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.9206364975873376}"
747,17,2024-05-25,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.780799951279334}"
747,17,2024-05-25,NEW_ACCOUNT,"{""product"": ""PL""}"
747,18,2024-06-24,ENQUIRY,"{""product"": ""CC""}"
747,19,2024-07-24,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.9473861449773198}"
747,21,2024-09-22,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.7455977920530774}"
747,22,2024-10-22,ENQUIRY,"{""product"": ""PL""}"
865,1,2023-01-31,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.9985354961701898}"
865,3,2023-04-01,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.9490933906211221}"
865,3,2023-04-01,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.1479580510691746}"
865,4,2023-05-01,ENQUIRY,"{""product"": ""CC""}"
865,5,2023-05-31,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.09943286797788711}"
865,7,2023-07-30,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.6844863552641818}"
865,8,2023-08-29,MISC_CLEAR,{}
