borrower_id,t,timestamp,R_DEBT_INCOME,INCOME,CREDIT_SCORE,UTILIZATION_OVERALL,DPD_MAX_12M,INQUIRIES_30D,N_OPEN_TRADES,R_EXPENDITURE_INCOME,CAT_MORTGAGE,CAT_CREDIT_CARD,TOTAL_LIMIT,TOTAL_BALANCE,TOTAL_PRINCIPAL,DEFAULT_FLAG
C02COQEVYU,0,2023-01-01,0.217,33425.23,438.0,0.7253,30,0,1,0.0929,0,0,10000.0,7253.18,0.0,False
C02COQEVYU,1,2023-01-31,0.2931,33747.78,432.0,0.9893,60,0,1,0.0869,0,0,10000.0,9892.84,0.0,False
C02COQEVYU,2,2023-03-02,0.2537,33820.5,426.0,0.8579,90,0,1,0.0683,0,0,10000.0,8579.04,0.0,False
C02COQEVYU,3,2023-04-01,0.2118,33901.5,420.0,0.7181,90,0,1,0.0855,0,0,10000.0,7181.23,0.0,False
C02COQEVYU,4,2023-05-01,0.2441,34017.31,414.0,0.8303,90,0,1,0.0864,0,0,10000.0,8302.75,0.0,False
C02COQEVYU,5,2023-05-31,0.2429,33579.99,408.0,0.8155,90,0,1,0.1436,0,0,10000.0,8155.27,0.0,False
C02COQEVYU,6,2023-06-30,0.266,34332.6,402.0,0.9133,90,0,1,0.0916,0,0,10000.0,9132.87,0.0,False
C02COQEVYU,7,2023-07-30,106.9204,34310.82,389.0,0.8739,90,0,2,0.1187,0,0,10000.0,8738.58,3659788.21,False
C02COQEVYU,8,2023-08-29,107.4411,34086.12,385.0,0.8291,90,0,2,0.1384,0,0,10000.0,8291.3,3653958.65,False
C02COQEVYU,9,2023-09-28,95.2362,38394.35,381.0,0.7697,90,0,2,0.114,0,0,10999.12,8465.7,3648066.14,False
C02COQEVYU,10,2023-10-28,93.6081,39062.08,369.0,0.7693,90,0,2,0.1235,0,0,10999.12,8462.04,3648066.14,False
C02COQEVYU,11,2023-11-27,93.7196,38958.31,365.0,0.8223,90,0,2,0.1256,0,0,10999.12,9045.09,3642109.99,False
C02COQEVYU,12,2023-12-27,95.3023,38294.66,353.0,0.6783,90,0,2,0.172,0,0,10999.12,7460.79,3642109.99,False
C02COQEVYU,13,2024-01-26,95.4343,38182.04,349.0,0.7078,90,0,2,0.1272,0,0,10999.12,7785.03,3636089.53,False
C02COQEVYU,14,2024-02-25,95.0222,38317.4,345.0,1.0,90,0,2,0.1197,0,0,10999.12,10999.12,3630004.05,False
C02COQEVYU,15,2024-03-26,93.9602,38641.13,349.0,0.6251,90,0,2,0.1252,0,0,10999.12,6875.61,3623852.86,False
C02COQEVYU,16,2024-04-25,86.0648,42195.31,344.0,0.6982,90,1,2,0.1142,0,0,10999.12,7680.04,3623852.86,False
C02COQEVYU,17,2024-05-25,86.0223,42152.3,340.0,0.7639,90,0,2,0.097,0,0,10999.12,8402.6,3617635.25,False
C02COQEVYU,18,2024-06-24,86.4094,41969.49,336.0,0.8114,90,0,2,0.1606,0,0,10999.12,8924.4,3617635.25,False
C02COQEVYU,19,2024-07-24,85.6795,42213.59,340.0,0.4988,90,0,2,0.086,0,0,10999.12,5486.48,3611350.5,False
C02COQEVYU,20,2024-08-23,89.6491,40329.17,336.0,0.3748,90,0,2,0.0999,0,0,10999.12,4121.98,3611350.5,False
C02COQEVYU,21,2024-09-22,88.123,40961.26,340.0,0.4211,90,0,2,0.1114,0,0,10999.12,4631.26,3604997.87,False
C02COQEVYU,22,2024-10-22,87.0404,41428.02,336.0,0.6667,90,0,2,0.082,0,0,10999.12,7332.94,3598576.65,False
C02COQEVYU,23,2024-11-21,86.08,41806.36,340.0,0.6006,90,0,2,0.0908,0,0,10999.12,6606.39,3592086.09,False
C02OZKC0ZF,0,2023-01-01,0.182,76724.39,627.0,0.3254,0,0,1,0.161,0,0,42914.23,13963.01,0.0,False
C02OZKC0ZF,1,2023-01-31,0.1922,77484.54,629.0,0.3471,0,0,1,0.1123,0,0,42914.23,14895.01,0.0,False
C02OZKC0ZF,2,2023-03-02,0.1695,76586.59,623.0,0.3025,30,0,1,0.0853,0,0,42914.23,12979.89,0.0,False
